prompt,completion,split
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 Can the governing law for a labor contract be determined by agreement between the parties?
<|im_start|>Class
",japanese business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 Who is the parent company of Routledge?
<|im_start|>Class
",korean business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인은 피해자의 택시 진로를 방해한 후 어떤 행위를 하였습니까?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 What are the uncertainties that Korea faced during the 1980s due to its economic miracle?
<|im_start|>Class
",korean business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인은 2017년 7월 21일 부천시 원미1동 행정복지센터에서 어떤 행위로 인해 피해자를 모욕하였습니까?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 피해자에게 욕설을 하고 소란을 피우며 스크린 골프장 영업 업무를 방해한 행위는 어떤 법률 조항에 해당하는가?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 ハンセン病元患者家族に対する補償金の支給等に関する法律施行規則において、法第二条第二項第三号の厚生労働省令で定める者は誰ですか？
<|im_start|>Class
",japanese general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 自衛隊の特定行事や特定施設に入場する際に必要な手続きは何ですか？
<|im_start|>Class
",japanese general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 警護規則の目的は何ですか？
<|im_start|>Class
",japanese general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인은 어떤 이유로 피해자를 폭행하였으며, 어떤 물건을 사용하였습니까?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 What is the maximum period for carrying forward net losses in Japan?
<|im_start|>Class
",japanese business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 2011년 7월 31일 의정부시의 호프집에서 피해자의 옷장에서 현금을 절취한 행위는 어떤 법률에 의해 처벌받을 수 있나요?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 2014년 10월 19일 경주시 B에 있는 C주점에서 피해자 D의 얼굴을 때린 행위는 어떤 법률에 의해 처벌받을 수 있나요?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 피해자에게 욕설을 하고 소란을 피워 피해자들의 식당 영업 업무를 방해한 행위는 어떤 법률 조항에 해당하는가?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 What is the current status of Korea's economy and what strategies are being employed to drive growth?
<|im_start|>Class
",korean business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 What is the tax rate for inheritance tax and gift tax in Japan?
<|im_start|>Class
",japanese business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 農山漁村の活性化のための定住等及び地域間交流の促進に関する法律第五条第十一項に基づく政令で定められた施設は何ですか？
<|im_start|>Class
",japanese general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 피해자 B를 기망하여 90,000원 상당의 재물을 교부받은 행위는 어떤 법률 조항에 해당하는가?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인은 2016년 9월 4일 강원 영월군에서 혈중알콜농도 0.168% 상태로 화물차를 운전한 혐의로 어떤 법률을 위반했나요?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 農林水産省の職員が立入検査の際に携帯する証明書の様式に関する特例を定めた省令は何ですか？
<|im_start|>Class
",japanese general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 What percent of the total amount of inbound FDI into Korea from 2005 to 2017 was from OECD countries?
<|im_start|>Class
",korean business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인은 어떤 과실로 인해 교통사고를 일으켰으며, 그 결과 피해자들에게 어떤 상해를 입혔는가?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 What is the topic of the 12.3 table?
<|im_start|>Class
",korean business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 令和四年度分の震災復興特別交付税の額の決定時期はいつですか？
<|im_start|>Class
",japanese general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 Is there a difference between the inheritance tax and the gift tax in Japan?
<|im_start|>Class
",japanese business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 Can part-time workers receive annual paid leave?
<|im_start|>Class
",japanese business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인은 어떤 행위로 인해 형법 제261조와 형법 제260조 제1항을 위반하였나요?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 혈중알코올농도 0.201%의 술에 취한 상태로 약 500m를 운전한 행위는 어떤 법률을 위반한 것인가?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 What is the difference between a resident card and a residence card?
<|im_start|>Class
",japanese business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 2019년 11월 29일 경주시에서 혈중알콜농도 0.124% 상태로 약 3.8km 구간을 운전한 행위는 어떤 법을 위반한 것인가?
<|im_start|>Class
",korean general law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 Can an employer make employees who have worked at the company for less than one year ineligible for childcare leave?
<|im_start|>Class
",japanese business law<|im_end|>,train
"<|im_start|>system
You are an expert classifer. Based on the given Sentece, Classfity them as one of the four category:korean general law, korean business law, japanese general law,japanese business law  <|im_end|>
<|im_start|>Input
 피고인이 신호를 위반하여 교차로에서 좌회전하다가 피해자에게 상해를 입힌 사건에서 피고인의 주의의무 위반에 대한 법적 책임은 무엇인가?
<|im_start|>Class
",korean general law<|im_end|>,train
